date,precip,snow,snow_depth,temp_max,temp_min
1/1/14,0,0,0,33,24
1/2/14,0.33,3.1,0,33,18
1/3/14,0.29,3.3,5.9,18,9
1/4/14,0,0,5.9,29,8
1/5/14,0.14,0,3.9,40,27
1/6/14,0.36,0,1.2,55,19
1/7/14,0,0,0,19,4
1/8/14,0,0,0,22,9
1/9/14,0,0,0,32,22
1/10/14,0.11,0,0,37,30
1/11/14,0.5,0,0,58,37
1/12/14,0.05,0,0,54,38
1/13/14,0,0,0,51,37
1/14/14,0.38,0,0,52,44
1/15/14,0,0,0,47,39
1/16/14,0,0,0,42,36
1/17/14,0,0,0,44,33
1/18/14,0.07,0,0,41,29
1/19/14,0,0,0,38,24
1/20/14,0,0,0,46,31
1/21/14,0.46,11,0,31,11
1/22/14,0.02,0.5,11,17,5
1/23/14,0,0,7.1,20,7
1/24/14,0,0,5.9,20,10
1/25/14,0.04,1,3.9,28,19
1/26/14,0,0,3.9,34,17
1/27/14,0,0,3.1,44,21
1/28/14,0,0,1.2,21,12
1/29/14,0.04,0.8,2,23,14
1/30/14,0,0,1,30,16
1/31/14,0,0,1.2,39,25
2/1/14,0,0,1.2,45,36
2/2/14,0,0,1.2,56,39
2/3/14,1.17,8,1.2,43,27
2/4/14,0,0,7.9,35,22
2/5/14,1.43,4,9.1,34,29
2/6/14,0,0,9.1,32,21
2/7/14,0,0,9.1,32,24
2/8/14,0,0,9.1,29,21
2/9/14,0.1,1.2,7.9,31,21
2/10/14,0,0,9.8,29,21
2/11/14,0,0,9.8,26,16
2/12/14,0,0,9.8,25,13
2/13/14,1.78,9.5,11.8,36,24
2/14/14,0.3,3,18.1,40,31
2/15/14,0.13,1.6,18.1,37,27
2/16/14,0,0,18.1,30,21
2/17/14,0,0,16.9,32,18
2/18/14,0.16,1.5,18.1,39,26
2/19/14,0.26,0,16.9,45,34
2/20/14,0.03,0,15,51,37
2/21/14,0.09,0,13,49,36
2/22/14,0,0,9.8,54,40
2/23/14,0,0,9.1,54,43
2/24/14,0,0,5.9,44,27
2/25/14,0,0,5.9,33,24
2/26/14,0.03,0.2,5.9,31,20
2/27/14,0,0,5.9,34,14
2/28/14,0,0,5.9,24,9
3/1/14,0,0,5.9,37,20
3/2/14,0,0,5.1,40,32
3/3/14,0.04,0.1,5.1,32,17
3/4/14,0,0,5.1,29,13
3/5/14,0,0,3.9,39,26
3/6/14,0,0,3.9,31,16
3/7/14,0,0,3.9,37,26
3/8/14,0,0,3.1,57,35
3/9/14,0,0,2,44,36
3/10/14,0,0,1.2,51,36
3/11/14,0,0,0,66,45
3/12/14,0.35,0,0,56,32
3/13/14,0,0,0,32,18
3/14/14,0,0,0,46,22
3/15/14,0,0,0,58,42
3/16/14,0,0,0,42,30
3/17/14,0,0,0,35,23
3/18/14,0,0,0,43,28
3/19/14,0.92,0,0,46,32
3/20/14,0,0,0,54,40
3/21/14,0,0,0,51,39
3/22/14,0,0,0,63,41
3/23/14,0,0,0,42,27
3/24/14,0,0,0,35,21
3/25/14,0,0,0,39,26
3/26/14,0,0,0,36,24
3/27/14,0,0,0,44,22
3/28/14,0.04,0,0,62,37
3/29/14,1.81,0,0,59,43
3/30/14,0.35,0,0,49,39
3/31/14,0.16,0,0,56,36
4/1/14,0,0,0,60,39
4/2/14,0,0,0,54,42
4/3/14,0.07,0,0,67,46
4/4/14,0.21,0,0,47,40
4/5/14,0,0,0,54,40
4/6/14,0,0,0,61,36
4/7/14,0.52,0,0,53,43
4/8/14,0.34,0,0,64,46
4/9/14,0,0,0,61,45
4/10/14,0,0,0,58,42
4/11/14,0,0,0,75,56
4/12/14,0,0,0,73,50
4/13/14,0,0,0,77,54
4/14/14,0,0,0,75,59
4/15/14,0.71,0,0,63,33
4/16/14,0.05,0,0,49,31
4/17/14,0,0,0,48,36
4/18/14,0,0,0,49,35
4/19/14,0,0,0,68,41
4/20/14,0,0,0,60,45
4/21/14,0,0,0,67,41
4/22/14,0.01,0,0,71,51
4/23/14,0,0,0,61,44
4/24/14,0,0,0,62,42
4/25/14,0.02,0,0,63,44
4/26/14,0.92,0,0,67,46
4/27/14,0,0,0,59,47
4/28/14,0,0,0,67,45
4/29/14,0.03,0,0,52,43
4/30/14,4.97,0,0,52,41
5/1/14,0.12,0,0,78,51
5/2/14,0,0,0,70,56
5/3/14,0.08,0,0,71,54
5/4/14,0.02,0,0,65,54
5/5/14,0,0,0,70,50
5/6/14,0,0,0,71,52
5/7/14,0,0,0,69,50
5/8/14,0.41,0,0,59,53
5/9/14,0.04,0,0,63,55
5/10/14,0.37,0,0,83,57
5/11/14,0.03,0,0,82,60
5/12/14,0,0,0,85,64
5/13/14,0,0,0,73,53
5/14/14,0.01,0,0,71,52
5/15/14,0.15,0,0,71,58
5/16/14,1.54,0,0,68,58
5/17/14,0,0,0,70,53
5/18/14,0,0,0,67,51
5/19/14,0,0,0,72,49
5/20/14,0,0,0,78,53
5/21/14,0,0,0,74,63
5/22/14,0.24,0,0,67,59
5/23/14,0.91,0,0,71,56
5/24/14,0.4,0,0,70,57
5/25/14,0,0,0,80,55
5/26/14,0,0,0,86,66
5/27/14,0,0,0,86,64
5/28/14,0,0,0,64,54
5/29/14,0,0,0,66,51
5/30/14,0,0,0,75,55
5/31/14,0.05,0,0,73,57
6/1/14,0,0,0,77,55
6/2/14,0,0,0,80,59
6/3/14,0.12,0,0,87,65
6/4/14,0,0,0,82,63
6/5/14,0.87,0,0,76,61
6/6/14,0,0,0,76,61
6/7/14,0,0,0,82,60
6/8/14,0,0,0,86,66
6/9/14,1.6,0,0,73,63
6/10/14,0,0,0,77,65
6/11/14,0.02,0,0,70,61
6/12/14,0.07,0,0,73,60
6/13/14,1.28,0,0,79,65
6/14/14,0,0,0,74,60
6/15/14,0,0,0,80,59
6/16/14,0,0,0,81,63
6/17/14,0,0,0,89,71
6/18/14,0,0,0,89,76
6/19/14,0.15,0,0,77,68
6/20/14,0,0,0,79,64
6/21/14,0,0,0,78,62
6/22/14,0,0,0,79,64
6/23/14,0,0,0,81,65
6/24/14,0,0,0,81,68
6/25/14,0.08,0,0,85,70
6/26/14,0.07,0,0,85,70
6/27/14,0,0,0,83,67
6/28/14,0,0,0,87,66
6/29/14,0,0,0,83,68
