i_callback,n_jobs,n_expr,i_military,i_computer,first_name,sex,i_female,i_male,race,i_black,i_white
0,2,6,0,1,Allison,f,1,0,w,0,1
0,3,6,1,1,Kristen,f,1,0,w,0,1
0,1,6,0,1,Lakisha,f,1,0,b,1,0
0,4,6,0,1,Latonya,f,1,0,b,1,0
0,3,22,0,1,Carrie,f,1,0,w,0,1
0,2,6,0,0,Jay,m,0,1,w,0,1
0,2,5,0,1,Jill,f,1,0,w,0,1
0,4,21,0,1,Kenya,f,1,0,b,1,0
0,3,3,0,1,Latonya,f,1,0,b,1,0
0,2,6,0,0,Tyrone,m,0,1,b,1,0
0,4,8,0,1,Aisha,f,1,0,b,1,0
0,4,8,0,1,Allison,f,1,0,w,0,1
0,4,4,0,1,Aisha,f,1,0,b,1,0
0,2,4,0,1,Carrie,f,1,0,w,0,1
0,2,5,0,0,Aisha,f,1,0,b,1,0
0,3,4,0,1,Geoffrey,m,0,1,w,0,1
0,3,5,0,0,Matthew,m,0,1,w,0,1
0,3,6,0,0,Tamika,f,1,0,b,1,0
0,2,6,0,0,Jill,f,1,0,w,0,1
0,2,8,0,0,Latonya,f,1,0,b,1,0
0,3,4,0,1,Leroy,m,0,1,b,1,0
0,3,3,0,1,Todd,m,0,1,w,0,1
0,2,2,0,0,Allison,f,1,0,w,0,1
0,3,7,0,1,Carrie,f,1,0,w,0,1
0,3,3,0,1,Greg,m,0,1,w,0,1
0,4,6,0,1,Keisha,f,1,0,b,1,0
0,3,4,0,1,Keisha,f,1,0,b,1,0
0,4,6,0,1,Kristen,f,1,0,w,0,1
0,3,7,0,1,Lakisha,f,1,0,b,1,0
0,3,2,0,1,Tamika,f,1,0,b,1,0
0,2,6,0,1,Allison,f,1,0,w,0,1
0,4,6,0,1,Keisha,f,1,0,b,1,0
0,2,9,0,1,Kristen,f,1,0,w,0,1
0,3,6,0,1,Latonya,f,1,0,b,1,0
0,2,4,0,0,Brad,m,0,1,w,0,1
0,3,5,0,1,Jill,f,1,0,w,0,1
0,3,4,0,1,Keisha,f,1,0,b,1,0
0,3,3,0,0,Keisha,f,1,0,b,1,0
0,3,4,1,1,Lakisha,f,1,0,b,1,0
0,3,5,0,0,Laurie,f,1,0,w,0,1
0,2,5,0,1,Meredith,f,1,0,w,0,1
0,3,5,0,0,Tyrone,m,0,1,b,1,0
0,4,7,0,1,Anne,f,1,0,w,0,1
0,4,6,0,1,Emily,f,1,0,w,0,1
0,4,5,0,1,Latoya,f,1,0,b,1,0
0,2,7,0,1,Tamika,f,1,0,b,1,0
0,2,4,0,1,Brad,m,0,1,w,0,1
0,3,5,0,0,Latoya,f,1,0,b,1,0
0,3,4,0,1,Kristen,f,1,0,w,0,1
0,3,5,0,1,Latonya,f,1,0,b,1,0
0,4,6,0,1,Latoya,f,1,0,b,1,0
0,3,6,0,1,Laurie,f,1,0,w,0,1
0,5,13,0,1,Allison,f,1,0,w,0,1
0,2,19,0,1,Ebony,f,1,0,b,1,0
0,3,5,0,0,Jay,m,0,1,w,0,1
0,5,7,1,1,Keisha,f,1,0,b,1,0
0,4,21,0,1,Laurie,f,1,0,w,0,1
0,3,5,0,0,Tyrone,m,0,1,b,1,0
0,4,4,0,1,Anne,f,1,0,w,0,1
0,3,5,0,1,Lakisha,f,1,0,b,1,0
0,4,6,0,1,Latonya,f,1,0,b,1,0
0,3,5,0,1,Meredith,f,1,0,w,0,1
0,2,5,0,1,Allison,f,1,0,w,0,1
0,2,6,0,0,Carrie,f,1,0,w,0,1
0,3,6,0,0,Ebony,f,1,0,b,1,0
0,4,6,0,1,Kenya,f,1,0,b,1,0
0,3,6,0,1,Lakisha,f,1,0,b,1,0
0,3,4,1,1,Laurie,f,1,0,w,0,1
0,4,8,0,1,Aisha,f,1,0,b,1,0
0,4,5,0,1,Anne,f,1,0,w,0,1
