prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.0620937,1,0.0208408,0.54796,0.1101729,0.6008929
0.0536519,1,0.0197791,0.5375,0.1159584,0.6133591
0.0730748,0,0.0146459,0.46685,0.1134514,0.5902804
0.056292,1,0.0563648,0.5041,0.1142778,0.57515
0.0446207,1,0.173531,0.49991,0.0923505,0.5858972
0.05192,0,0.2238095,0.53839,0.09564,0.5795217
0.0474525,1,0.2175593,0.51009,0.0955472,0.5601948
0.0515173,0,0.0319277,0.56018,0.0873082,0.6322625
0.080819,0,0.0289597,0.60842,0.0894558,0.6222348
0.0432753,1,0.2074983,0.5285,0.0986878,0.5613106
0.0515273,1,0.1377782,0.54393,0.0941167,0.5961478
0.0437302,1,0.2273302,0.47738,0.0877553,0.5633191
0.0571973,0,0.0218586,0.53016,0.089769,0.5265593
0.0548753,1,0.0473598,0.60328,0.09613,0.6070437
0.0449885,1,0.0908667,0.56804,0.094703,0.6008016
0.0553846,0,0.0104991,0.56475,0.1033285,0.6243335
0.0606061,0,0.0143486,0.52059,0.0990897,0.5818828
0.063214,1,0.0503331,0.54513,0.0992644,0.5915921
0.0803324,0,0.0093497,0.51937,0.0885637,0.6476094
0.0293852,0,0.3995614,0.43947,0.0912358,0.5186066
0.0356782,1,0.3407701,0.42169,0.0951241,0.5294711
0.0383134,1,0.2985355,0.49408,0.0922889,0.5447665
0.0417915,1,0.2103861,0.46309,0.0956688,0.5561864
0.0321322,1,0.4158873,0.44348,0.0871221,0.5245023
0.0499833,1,0.2301592,0.44848,0.0852488,0.5443147
0.0341975,0,0.4993167,0.40035,0.0861958,0.5241402
0.0455741,1,0.3110135,0.50059,0.0843854,0.554769
0.0470024,1,0.2561123,0.51684,0.084307000000000007,0.5440954
0.0536003,1,0.3082009,0.52275,0.0942796,0.5268694
0.0501139,0,0.287636,0.46068,0.0847197,0.5704187
0.0490633,0,0.3982646,0.50724,0.0858312,0.5344166
0.0670655,1,0.1807004,0.54407,0.0889918,0.5710733
0.0547567,1,0.3025393,0.46305,0.0976358,0.5326548
0.0512625,1,0.315797,0.52066,0.09101,0.5528399
0.0329739,0,0.5668333,0.40916,0.0843223,0.4942441
0.0671263,1,0.1821642,0.51798,0.1206366,0.54925
0.0689462,0,0.3181445,0.45074,0.0984317,0.54711
0.0607457,1,0.2976568,0.44136,0.0985023,0.5124754
0.0359066,0,0.5979162,0.32544,0.0827307,0.4610303
0.0247895,1,0.5851607,0.29639,0.0789261,0.4042983
0.037544,1,0.4445331,0.42467,0.1036639,0.4946284
0.0623068,0,0.4430706,0.38559,0.0944205,0.5147493
0.0642077,0,0.3024298,0.46301,0.0880605,0.5702726
0.1276865,0,0.1854615,0.50294,0.0795753,0.599737
0.0490473,0,0.4635694,0.3954,0.1062822,0.48759980000000003
0.0311578,0,0.5634955,0.39128,0.0906464,0.4567618
0.0511894,1,0.3708242,0.42313,0.1120383,0.4747154
0.1133758,1,0.1991856,0.52607,0.0906544,0.5580666
0.0604061,1,0.3326568,0.44281,0.0970431,0.5132786
0.0672466,1,0.2824583,0.44906,0.0980189,0.5300738
0.0972389,1,0.2051256,0.51652,0.0977912,0.571886
0.0951192,1,0.2701777,0.47039,0.0969556,0.5378538
0.0550701,1,0.3367011,0.41372,0.0942689,0.5268891
0.0573066,0,0.3962273,0.34833,0.0760517,0.5410939
0.0594872,0,0.3603712,0.46933,0.0923683,0.524151
0.0526559,1,0.3812555,0.44558,0.1103806,0.5011706
0.0683292,0,0.3545989,0.4662,0.0802088,0.4874004
0.1513761,0,0.1676968,0.50916,0.0897632,0.5944831
0.0400616,0,0.268743,0.49639,0.0969298,0.5899284
0.0428298,1,0.4208908,0.4442,0.1067655,0.5210192
0.0563107,0,0.3436384,0.49518,0.1063052,0.55464310000000006
0.0534808,1,0.2067547,0.5049,0.1195451,0.5625128
0.0532095,0,0.2489024,0.47431,0.1109959,0.5679548
0.0895457,0,0.0876765,0.51408,0.1053368,0.6151684
0.0636387,0,0.0128268,0.47547,0.1065301,0.6090464
0.0591133,0,0.0273964,0.50869,0.10738,0.5554757
0.0689198,0,0.0197847,0.45629,0.112458,0.5880772
0.13058,0,0.0136534,0.50149,0.1016768,0.5893362
0.0713542,0,0.0242777,0.52428,0.1102533,0.6051068
0.0629283,0,0.0082593,0.48002,0.1068513,0.6117109
0.0333914,0,0.5271481,0.37759,0.0867656,0.4684726
0.0271224,0,0.479377,0.37292,0.0832921,0.4494367
0.0221016,0,0.6583261,0.31364,0.0830527,0.4023101
0.0472382,1,0.2735686,0.52575,0.1126524,0.539585
0.0436006,0,0.287699,0.50778,0.1207527,0.5326793
0.0805369,0,0.0572587,0.61586,0.1208604,0.6113293
0.0435908,0,0.2405877,0.51719,0.1079292,0.5685366
0.0654429,0,0.0785048,0.5455,0.1132088,0.5988222
0.0537445,1,0.1846202,0.55686,0.0921451,0.5995329
0.0282206,1,0.4319281,0.4489,0.1064513,0.4917489
0.0321843,1,0.4709757,0.3856,0.0973604,0.5131308
0.0638532,1,0.0718668,0.55129,0.1054473,0.5740826
0.0617589,0,0.0373942,0.52246,0.1080988,0.6143836
0.0574351,1,0.103643,0.54349,0.1126349,0.5905232
0.057249,1,0.1527258,0.50619,0.1146248,0.5490999
0.0609923,0,0.0546742,0.5525,0.1031211,0.6077174
0.0718856,1,0.0624765,0.55928,0.1160912,0.6083897
0.0597247,1,0.1788946,0.60451,0.1010347,0.6082392
