month_year,price_gas
4/1/19,2.65
3/1/19,2.95
2/1/19,2.69
1/1/19,3.11
12/1/18,4.04
11/1/18,4.09
10/1/18,3.28
9/1/18,3
8/1/18,2.96
7/1/18,2.83
6/1/18,2.97
5/1/18,2.8
4/1/18,2.8
3/1/18,2.69
2/1/18,2.67
1/1/18,3.87
12/1/17,2.82
11/1/17,3.01
10/1/17,2.88
9/1/17,2.98
8/1/17,2.9
7/1/17,2.98
6/1/17,2.98
5/1/17,3.15
4/1/17,3.1
3/1/17,2.88
2/1/17,2.85
1/1/17,3.3
12/1/16,3.59
11/1/16,2.55
10/1/16,2.98
9/1/16,2.99
8/1/16,2.82
7/1/16,2.82
6/1/16,2.59
5/1/16,1.92
4/1/16,1.92
3/1/16,1.73
2/1/16,1.99
1/1/16,2.28
12/1/15,1.93
11/1/15,2.09
10/1/15,2.34
9/1/15,2.66
8/1/15,2.77
7/1/15,2.84
6/1/15,2.78
5/1/15,2.85
4/1/15,2.61
3/1/15,2.83
2/1/15,2.87
1/1/15,2.99
12/1/14,3.48
11/1/14,4.12
10/1/14,3.78
9/1/14,3.92
8/1/14,3.91
7/1/14,4.05
6/1/14,4.59
5/1/14,4.58
4/1/14,4.66
3/1/14,4.9
2/1/14,6
1/1/14,4.71
12/1/13,4.24
11/1/13,3.64
10/1/13,3.68
9/1/13,3.62
8/1/13,3.43
7/1/13,3.62
6/1/13,3.83
5/1/13,4.04
4/1/13,4.17
3/1/13,3.81
2/1/13,3.33
1/1/13,3.33
12/1/12,3.34
11/1/12,3.54
10/1/12,3.32
9/1/12,2.85
8/1/12,2.84
7/1/12,2.95
6/1/12,2.46
5/1/12,2.43
4/1/12,1.95
3/1/12,2.17
2/1/12,2.51
1/1/12,2.67
12/1/11,3.17
11/1/11,3.24
10/1/11,3.57
9/1/11,3.9
8/1/11,4.06
7/1/11,4.42
6/1/11,4.54
5/1/11,4.31
4/1/11,4.24
3/1/11,3.97
2/1/11,4.09
1/1/11,4.49
12/1/10,4.25
11/1/10,3.71
10/1/10,3.43
9/1/10,3.89
8/1/10,4.32
7/1/10,4.63
6/1/10,4.8
5/1/10,4.14
4/1/10,4.03
3/1/10,4.29
2/1/10,5.32
1/1/10,5.83
12/1/09,5.35
11/1/09,3.66
10/1/09,4.01
9/1/09,2.99
8/1/09,3.14
7/1/09,3.38
6/1/09,3.8
5/1/09,3.83
4/1/09,3.5
3/1/09,3.96
2/1/09,4.52
1/1/09,5.24
12/1/08,5.82
11/1/08,6.68
10/1/08,6.74
9/1/08,7.67
8/1/08,8.26
7/1/08,11.09
6/1/08,12.69
5/1/08,11.27
4/1/08,10.18
3/1/08,9.41
2/1/08,8.54
1/1/08,7.99
12/1/07,7.11
11/1/07,7.1
10/1/07,6.74
9/1/07,6.08
8/1/07,6.22
7/1/07,6.22
6/1/07,7.35
5/1/07,7.64
4/1/07,7.6
3/1/07,7.11
2/1/07,8
1/1/07,6.55
12/1/06,6.73
11/1/06,7.41
10/1/06,5.85
9/1/06,4.9
8/1/06,7.14
7/1/06,6.17
6/1/06,6.21
5/1/06,6.25
4/1/06,7.16
3/1/06,6.89
2/1/06,7.54
1/1/06,8.69
12/1/05,13.05
11/1/05,10.3
10/1/05,13.42
9/1/05,11.75
8/1/05,9.53
7/1/05,7.63
6/1/05,7.18
5/1/05,6.47
4/1/05,7.16
3/1/05,6.96
2/1/05,6.14
1/1/05,6.15
12/1/04,6.58
11/1/04,6.17
10/1/04,6.35
9/1/04,5.15
8/1/04,5.41
7/1/04,5.93
6/1/04,6.27
5/1/04,6.33
4/1/04,5.71
3/1/04,5.39
2/1/04,5.37
1/1/04,6.14
12/1/03,6.13
11/1/03,4.47
10/1/03,4.63
9/1/03,4.62
8/1/03,4.99
7/1/03,5.03
6/1/03,5.82
5/1/03,5.81
4/1/03,5.26
3/1/03,5.93
2/1/03,7.71
1/1/03,5.43
12/1/02,4.74
11/1/02,4.04
10/1/02,4.13
9/1/02,3.55
8/1/02,3.09
7/1/02,2.99
6/1/02,3.26
5/1/02,3.5
4/1/02,3.43
3/1/02,3.03
2/1/02,2.32
1/1/02,2.32
12/1/01,2.3
11/1/01,2.34
10/1/01,2.46
9/1/01,2.19
8/1/01,2.97
7/1/01,3.11
6/1/01,3.72
5/1/01,4.19
4/1/01,5.19
3/1/01,5.23
2/1/01,5.61
1/1/01,8.17
12/1/00,8.9
11/1/00,5.52
10/1/00,5.02
9/1/00,5.06
8/1/00,4.43
7/1/00,3.99
6/1/00,4.29
5/1/00,3.59
4/1/00,3.04
3/1/00,2.79
2/1/00,2.66
1/1/00,2.42
12/1/99,2.36
11/1/99,2.37
10/1/99,2.73
9/1/99,2.55
8/1/99,2.8
7/1/99,2.31
6/1/99,2.3
5/1/99,2.26
4/1/99,2.15
3/1/99,1.79
2/1/99,1.77
1/1/99,1.85
12/1/98,1.72
11/1/98,2.12
10/1/98,1.91
9/1/98,2.02
8/1/98,1.85
7/1/98,2.17
6/1/98,2.17
5/1/98,2.14
4/1/98,2.43
3/1/98,2.24
2/1/98,2.23
1/1/98,2.09
12/1/97,2.35
11/1/97,3.01
10/1/97,3.07
9/1/97,2.88
8/1/97,2.49
7/1/97,2.19
6/1/97,2.2
5/1/97,2.25
4/1/97,2.03
3/1/97,1.89
2/1/97,2.15
1/1/97,3.45
