month_year,price_gas,price_oil,month,year,t_month,t
1997-01-01,3.45,23.54,1,1997,1,1997
1997-02-01,2.15,20.85,2,1997,2,1997.0833333333333
1997-03-01,1.89,19.13,3,1997,3,1997.1666666666667
1997-04-01,2.03,17.56,4,1997,4,1997.25
1997-05-01,2.25,19.02,5,1997,5,1997.3333333333333
1997-06-01,2.2,17.58,6,1997,6,1997.4166666666667
1997-07-01,2.19,18.46,7,1997,7,1997.5
1997-08-01,2.49,18.6,8,1997,8,1997.5833333333333
1997-09-01,2.88,18.46,9,1997,9,1997.6666666666667
1997-10-01,3.07,19.87,10,1997,10,1997.75
1997-11-01,3.01,19.17,11,1997,11,1997.8333333333333
1997-12-01,2.35,17.18,12,1997,12,1997.9166666666667
1998-01-01,2.09,15.19,1,1998,13,1998
1998-02-01,2.23,14.07,2,1998,14,1998.0833333333333
1998-03-01,2.24,13.1,3,1998,15,1998.1666666666667
1998-04-01,2.43,13.53,4,1998,16,1998.25
1998-05-01,2.14,14.36,5,1998,17,1998.3333333333333
1998-06-01,2.17,12.21,6,1998,18,1998.4166666666667
1998-07-01,2.17,12.08,7,1998,19,1998.5
1998-08-01,1.85,11.91,8,1998,20,1998.5833333333333
1998-09-01,2.02,13.34,9,1998,21,1998.6666666666667
1998-10-01,1.91,12.7,10,1998,22,1998.75
1998-11-01,2.12,11.04,11,1998,23,1998.8333333333333
1998-12-01,1.72,9.82,12,1998,24,1998.9166666666667
1999-01-01,1.85,11.11,1,1999,25,1999
1999-02-01,1.77,10.27,2,1999,26,1999.0833333333333
1999-03-01,1.79,12.51,3,1999,27,1999.1666666666667
1999-04-01,2.15,15.29,4,1999,28,1999.25
1999-05-01,2.26,15.23,5,1999,29,1999.3333333333333
1999-06-01,2.3,15.86,6,1999,30,1999.4166666666667
1999-07-01,2.31,19.08,7,1999,31,1999.5
1999-08-01,2.8,20.22,8,1999,32,1999.5833333333333
1999-09-01,2.55,22.54,9,1999,33,1999.6666666666667
1999-10-01,2.73,22,10,1999,34,1999.75
1999-11-01,2.37,24.58,11,1999,35,1999.8333333333333
1999-12-01,2.36,25.47,12,1999,36,1999.9166666666667
2000-01-01,2.42,25.51,1,2e3,37,2e3
2000-02-01,2.66,27.78,2,2e3,38,2000.0833333333333
2000-03-01,2.79,27.49,3,2e3,39,2000.1666666666667
2000-04-01,3.04,22.76,4,2e3,40,2000.25
2000-05-01,3.59,27.74,5,2e3,41,2000.3333333333333
