wage,education,n_kids
3.1,11,2
3.24,12,3
3,11,2
6,8,0
5.3,12,1
8.75,16,0
11.25,18,0
5,12,0
3.6,12,2
18.18,17,0
6.25,16,0
8.13,13,0
8.77,12,2
5.5,12,0
22.2,12,1
17.33,16,1
7.5,12,0
10.63,13,0
3.6,12,3
4.5,12,0
6.88,12,0
8.48,12,3
6.33,16,0
0.53,12,0
6,11,0
9.56,16,1
7.78,16,1
12.5,16,0
12.5,15,2
3.25,8,2
13,14,2
4.5,14,2
9.68,13,0
5,12,0
4.68,12,0
4.27,16,1
6.15,12,1
3.51,4,5
3,14,0
6.25,12,0
7.81,12,0
10,12,4
4.5,14,1
4,11,0
6.38,13,0
13.7,15,2
1.67,10,1
2.93,12,1
3.65,14,0
2.9,12,2
1.63,12,2
8.6,16,0
5,12,1
6,12,0
2.5,12,2
3.25,15,1
3.4,16,1
10,8,0
21.63,18,0
4.38,16,0
11.71,13,0
12.39,14,0
6.25,10,0
3.71,10,4
7.78,14,0
19.98,14,2
6.25,16,3
10,12,3
5.71,16,1
2,12,4
5.71,16,0
13.08,17,3
4.91,12,2
2.91,12,2
3.75,12,0
11.9,13,2
4,12,1
3.1,12,1
8.45,12,4
7.14,18,2
4.5,9,4
4.65,16,0
2.9,10,1
6.67,12,0
3.5,12,1
3.26,12,1
3.25,12,1
8,12,1
9.85,8,2
7.5,12,1
5.91,12,2
11.76,14,0
3,12,2
4.81,12,0
6.5,12,0
4,9,1
3.5,13,1
13.16,12,0
4.25,14,2
3.5,12,0
5.13,15,0
3.75,12,3
4.5,12,0
7.63,12,0
15,14,1
6.85,15,2
13.33,12,2
6.67,12,0
2.53,12,0
9.8,17,0
3.37,11,0
24.98,18,0
5.4,12,0
6.11,14,2
4.2,14,0
3.75,10,0
3.5,14,0
3.64,12,0
3.8,15,1
3,8,3
5,16,0
4.63,14,2
3,15,0
3.2,12,1
3.91,18,2
6.43,16,2
5.48,10,0
1.5,8,0
2.9,10,2
5,11,0
8.92,18,0
5,15,0
3.52,12,0
2.9,11,1
4.5,12,3
2.25,12,2
5,14,4
10,16,2
3.75,2,0
10,14,0
10.95,16,4
7.9,12,0
4.72,12,0
5.84,13,1
3.83,12,3
3.2,15,2
2,10,5
4.5,12,3
11.55,16,3
2.14,13,0
2.38,9,5
3.75,12,1
5.52,13,0
6.5,12,0
3.1,12,1
10,14,2
6.63,16,0
10,16,0
2.31,9,5
6.88,18,0
2.83,10,4
3.13,10,1
8,13,1
4.5,12,0
8.65,18,0
2,13,0
4.75,12,0
6.25,13,1
6,13,2
15.38,13,2
14.58,18,0
12.5,12,0
5.25,12,2
2.17,13,1
7.14,12,0
6.22,12,1
9,12,0
10,14,0
5.77,10,0
4,12,2
8.75,16,1
6.53,16,0
7.6,12,0
5,14,0
5,12,0
21.86,12,3
8.64,12,0
3.3,12,1
4.44,12,0
4.55,12,0
3.5,12,0
6.25,16,1
3.85,16,0
6.18,14,0
2.91,11,3
6.25,16,0
6.25,12,0
9.05,12,3
10,17,0
11.11,12,0
6.88,12,3
8.75,16,0
10,8,0
3.05,12,2
3,12,0
5.8,12,2
4.1,16,0
8,12,1
6.15,12,0
2.7,9,1
2.75,13,1
3,16,0
3,14,0
7.36,8,3
7.5,14,1
3.5,13,3
8.1,12,1
3.75,18,1
3.25,9,1
5.83,8,0
3.5,8,3
3.33,12,0
4,14,0
3.5,12,2
6.25,16,0
2.95,8,1
5.71,13,0
3,9,0
22.86,16,2
9,12,0
8.33,15,1
3,11,0
5.75,14,0
6.76,12,2
10,12,2
3,12,0
3.5,18,0
3.25,12,0
4,12,0
2.92,12,1
3.06,12,3
3.2,12,1
4.75,12,3
3,14,4
18.16,16,1
3.5,12,2
4.11,14,0
1.96,11,0
4.29,12,0
3,10,0
6.45,12,0
5.2,6,0
4.5,13,0
3.88,12,3
3.45,10,2
10.91,12,0
4.1,14,0
3,13,0
5.9,12,2
18,18,0
4,12,0
3,12,0
3.55,12,1
3,12,2
8.75,12,0
2.9,8,1
6.26,13,0
3.5,13,0
4.6,14,0
6,12,2
2.89,10,1
5.58,16,0
4,12,0
6,16,0
4.5,12,2
2.92,14,0
4.33,18,0
18.89,17,2
4.28,13,2
4.57,14,0
6.25,15,2
2.95,14,0
8.75,12,0
8.5,8,0
3.75,12,4
3.15,12,0
5,8,0
6.46,12,3
2,9,3
4.79,12,0
5.78,16,2
3.18,12,0
4.68,16,0
4.1,12,0
2.91,12,0
6,13,4
3.6,10,0
3.95,6,6
7,12,1
3,12,0
6.08,16,0
8.63,12,1
3,8,0
3.75,12,1
2.9,6,0
3,4,0
6.25,11,0
3.5,11,2
3,7,3
3.24,12,2
8.02,18,1
3.33,12,1
5.25,16,0
6.25,12,3
3.5,14,1
2.95,12,1
3,10,2
4.69,10,0
3.73,9,1
4,10,0
4,12,2
2.9,12,2
3.05,12,1
5.05,10,0
13.95,16,0
18.16,16,1
6.25,16,0
5.25,12,0
4.79,12,3
3.35,7,1
3,8,1
8.43,16,0
5.7,16,0
11.98,18,2
3.5,13,0
4.24,10,1
7,16,1
6,14,2
12.22,16,0
4.5,12,0
3,9,2
2.9,11,2
15,11,0
4,12,0
5.25,11,2
4,12,3
3.3,12,2
5.05,12,3
3.58,12,0
5,14,2
4.57,14,0
12.5,18,0
3.45,12,0
4.63,12,0
10,12,0
2.92,11,1
4.51,12,0
6.5,17,0
7.5,16,0
3.54,13,0
4.2,13,2
3.51,12,0
4.5,14,0
3.35,14,0
2.91,11,2
5.25,10,1
4.05,8,0
3.75,14,3
3.4,12,1
3,10,1
6.29,17,1
2.54,9,1
4.5,12,1
3.13,12,1
6.36,14,0
4.68,16,0
6.8,12,2
8.53,10,0
4.17,0,0
3.75,14,0
11.1,15,2
3.26,16,2
9.13,12,3
4.5,11,2
3,11,1
8.75,12,0
4.14,13,0
2.87,12,0
3.35,13,2
6.08,16,0
3,15,0
4.2,16,1
5.6,15,2
10,12,0
12.5,18,1
3.76,6,4
3.1,6,5
4.29,12,2
10.92,12,0
7.5,16,1
4.05,9,1
4.65,12,3
5,11,0
2.9,10,2
8,12,1
8.43,8,3
2.92,9,0
6.25,17,0
6.25,16,2
5.11,11,0
4,10,1
4.44,8,3
6.88,13,0
5.43,14,1
3,13,1
2.9,11,2
6.25,7,0
4.34,16,0
3.25,12,2
7.26,13,0
6.35,14,2
5.63,16,0
8.75,14,1
3.2,11,0
3,8,0
3,14,0
12.5,17,3
2.88,10,3
3.35,12,0
6.5,12,0
10.38,18,1
4.5,14,0
10,18,0
3.81,12,2
8.8,16,0
9.42,14,2
6.33,12,2
4,9,0
2.9,12,0
20,12,1
11.25,17,1
3.5,12,2
6,15,2
14.38,17,1
6.36,16,1
3.55,12,1
3,15,0
4.5,16,1
6.63,12,0
9.3,15,0
3,12,2
3.25,12,0
1.5,12,2
5.9,12,1
8,16,0
2.9,11,1
3.29,14,0
6.5,14,0
4,13,1
6,14,0
4.08,12,0
3.75,12,0
3.05,8,0
3.5,12,0
2.92,3,0
4.5,11,0
3.35,15,2
5.95,11,1
8,12,2
3,4,1
5,9,6
5.5,12,1
2.65,12,0
3,11,2
4.5,12,0
17.5,16,3
8.18,13,0
9.09,15,1
11.82,16,0
3.25,12,0
4.5,12,0
4.5,12,0
3.71,9,2
6.5,10,3
2.9,12,0
5.6,11,2
2.23,8,4
5,6,3
8.33,16,0
2.9,12,4
6.25,12,3
4.55,16,0
3.28,12,0
2.3,10,4
3.3,13,0
3.15,13,4
12.5,14,0
5.15,16,0
3.13,10,2
7.25,12,3
2.9,12,0
1.75,11,2
2.89,0,2
2.9,5,5
17.71,16,1
6.25,16,0
2.6,9,1
6.63,15,2
3.5,12,1
6.5,12,3
3,12,0
4.38,13,1
10,12,1
4.95,7,5
9,17,2
1.43,12,2
3.08,12,0
9.33,14,3
7.5,12,2
4.75,13,0
5.65,12,0
15,16,2
2.27,10,3
4.67,15,3
11.56,16,0
3.5,14,2
